GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350812,0812.00,3580,290,1180,2115
5350820.03,0820.03,2160,105,455,1590
5350820.04,0820.04,1500,110,405,990
5350820.05,0820.05,1290,30,290,970
5350820.06,0820.06,1045,80,260,710
5350820.07,0820.07,2290,100,590,1605
5350830,0830.00,2590,155,630,1800
5350831.01,0831.01,2940,150,695,2100
5350831.02,0831.02,3265,195,900,2170
5350832,0832.00,2190,155,555,1475
